ADC Channel - Charge distribution	LED bias56.03V, G29dB,I2.5
964.5	194	
965.5	200	
966.5	204	
967.5	196	
968.5	158	
969.5	176	
970.5	184	
971.5	147	
972.5	171	
973.5	161	
974.5	163	
975.5	147	
976.5	150	
977.5	156	
978.5	136	
979.5	103	
980.5	142	
981.5	133	
982.5	124	
983.5	155	
984.5	129	
985.5	134	
986.5	125	
987.5	130	
988.5	136	
989.5	166	
990.5	148	
991.5	137	
992.5	144	
993.5	157	
994.5	165	
995.5	154	
996.5	175	
997.5	155	
998.5	161	
999.5	141	
1000.5	169	
1001.5	168	
1002.5	143	
1003.5	148	
1004.5	149	
1005.5	136	
1006.5	172	
1007.5	165	
1008.5	167	
1009.5	132	
1010.5	153	
1011.5	143	
1012.5	170	
1013.5	155	
1014.5	156	
1015.5	151	
1016.5	152	
1017.5	170	
1018.5	174	
1019.5	183	
1020.5	142	
1021.5	151	
1022.5	155	
1023.5	145	
1024.5	165	
1025.5	181	
1026.5	154	
1027.5	147	
1028.5	155	
1029.5	151	
1030.5	166	
1031.5	136	
1032.5	135	
1033.5	151	
1034.5	140	
1035.5	144	
1036.5	169	
1037.5	113	
1038.5	150	
1039.5	147	
1040.5	155	
1041.5	130	
1042.5	144	
1043.5	137	
1044.5	143	
1045.5	120	
1046.5	149	
1047.5	149	
1048.5	143	
1049.5	141	
1050.5	149	
1051.5	127	
1052.5	142	
1053.5	131	
1054.5	122	
1055.5	123	
1056.5	133	
1057.5	127	
1058.5	127	
1059.5	117	
1060.5	134	
1061.5	131	
1062.5	138	
1063.5	136	
1064.5	111	
1065.5	116	
1066.5	135	
1067.5	110	
1068.5	102	
1069.5	103	
1070.5	99	
1071.5	122	
1072.5	105	
1073.5	111	
1074.5	129	
1075.5	96	
1076.5	90	
1077.5	92	
1078.5	107	
1079.5	119	
1080.5	104	
1081.5	100	
1082.5	112	
1083.5	97	
1084.5	101	
1085.5	107	
1086.5	99	
1087.5	91	
1088.5	95	
1089.5	96	
1090.5	91	
1091.5	77	
1092.5	73	
1093.5	82	
1094.5	89	
1095.5	76	
1096.5	83	
1097.5	79	
1098.5	69	
1099.5	74	
1100.5	88	
1101.5	82	
1102.5	76	
1103.5	70	
1104.5	67	
1105.5	70	
1106.5	84	
1107.5	78	
1108.5	60	
1109.5	71	
1110.5	69	
1111.5	67	
1112.5	55	
1113.5	58	
1114.5	67	
1115.5	67	
1116.5	67	
1117.5	62	
1118.5	61	
1119.5	52	
1120.5	68	
1121.5	48	
1122.5	58	
1123.5	55	
1124.5	56	
1125.5	67	
1126.5	64	
1127.5	60	
1128.5	63	
1129.5	58	
1130.5	78	
1131.5	53	
1132.5	57	
1133.5	57	
1134.5	57	
1135.5	59	
1136.5	68	
1137.5	54	
1138.5	80	
1139.5	56	
1140.5	59	
1141.5	53	
1142.5	69	
1143.5	67	
1144.5	70	
1145.5	77	
1146.5	78	
1147.5	94	
1148.5	73	
1149.5	69	
1150.5	85	
1151.5	108	
1152.5	96	
1153.5	93	
1154.5	88	
1155.5	112	
1156.5	107	
1157.5	100	
1158.5	102	
1159.5	99	
1160.5	114	
1161.5	126	
1162.5	112	
1163.5	137	
1164.5	116	
1165.5	120	
1166.5	124	
1167.5	154	
1168.5	132	
1169.5	134	
1170.5	167	
1171.5	145	
1172.5	164	
1173.5	151	
1174.5	153	
1175.5	176	
1176.5	163	
1177.5	184	
1178.5	175	
1179.5	161	
1180.5	192	
1181.5	176	
1182.5	186	
1183.5	207	
1184.5	182	
1185.5	239	
1186.5	220	
1187.5	216	
1188.5	214	
1189.5	204	
1190.5	235	
1191.5	251	
1192.5	224	
1193.5	220	
1194.5	213	
1195.5	226	
1196.5	240	
1197.5	226	
1198.5	238	
1199.5	221	
1200.5	260	
1201.5	249	
1202.5	244	
1203.5	246	
1204.5	278	
1205.5	227	
1206.5	270	
1207.5	252	
1208.5	281	
1209.5	234	
1210.5	272	
1211.5	260	
1212.5	240	
1213.5	269	
1214.5	256	
1215.5	274	
1216.5	250	
1217.5	262	
1218.5	256	
1219.5	283	
1220.5	262	
1221.5	264	
1222.5	259	
1223.5	238	
1224.5	253	
1225.5	279	
1226.5	247	
1227.5	271	
1228.5	264	
1229.5	256	
1230.5	260	
1231.5	261	
1232.5	242	
1233.5	254	
1234.5	274	
1235.5	220	
1236.5	249	
1237.5	245	
1238.5	253	
1239.5	252	
1240.5	238	
1241.5	237	
1242.5	237	
1243.5	247	
1244.5	229	
1245.5	222	
1246.5	244	
1247.5	217	
1248.5	218	
1249.5	215	
1250.5	245	
1251.5	221	
1252.5	205	
1253.5	201	
1254.5	226	
1255.5	219	
1256.5	201	
1257.5	197	
1258.5	215	
1259.5	192	
1260.5	180	
1261.5	163	
1262.5	172	
1263.5	173	
1264.5	172	
1265.5	154	
1266.5	138	
1267.5	156	
1268.5	156	
1269.5	144	
1270.5	124	
1271.5	154	
1272.5	137	
1273.5	120	
1274.5	157	
1275.5	128	
1276.5	101	
1277.5	110	
1278.5	114	
1279.5	124	
1280.5	112	
1281.5	105	
1282.5	122	
1283.5	121	
1284.5	90	
1285.5	111	
1286.5	112	
1287.5	92	
1288.5	122	
1289.5	97	
1290.5	89	
1291.5	95	
1292.5	120	
1293.5	96	
1294.5	101	
1295.5	97	
1296.5	112	
1297.5	83	
1298.5	99	
1299.5	109	
1300.5	103	
1301.5	96	
1302.5	115	
1303.5	84	
1304.5	107	
1305.5	93	
1306.5	89	
1307.5	104	
1308.5	115	
1309.5	90	
1310.5	94	
1311.5	88	
1312.5	113	
1313.5	105	
1314.5	95	
1315.5	95	
1316.5	93	
1317.5	98	
1318.5	96	
1319.5	99	
1320.5	72	
1321.5	114	
1322.5	95	
1323.5	90	
1324.5	92	
1325.5	95	
1326.5	100	
1327.5	101	
1328.5	98	
1329.5	107	
1330.5	110	
1331.5	89	
1332.5	95	
1333.5	90	
1334.5	97	
1335.5	84	
1336.5	91	
1337.5	92	
1338.5	89	
1339.5	101	
1340.5	86	
1341.5	109	
1342.5	88	
1343.5	88	
1344.5	93	
1345.5	93	
1346.5	92	
1347.5	85	
1348.5	71	
1349.5	95	
1350.5	77	
1351.5	81	
1352.5	90	
1353.5	70	
1354.5	72	
1355.5	91	
1356.5	97	
1357.5	69	
1358.5	76	
1359.5	78	
1360.5	89	
1361.5	92	
1362.5	87	
1363.5	71	
1364.5	77	
1365.5	84	
1366.5	67	
1367.5	92	
1368.5	78	
1369.5	84	
1370.5	76	
1371.5	75	
1372.5	84	
1373.5	82	
1374.5	56	
1375.5	69	
1376.5	87	
1377.5	66	
1378.5	55	
1379.5	83	
1380.5	78	
1381.5	63	
1382.5	71	
1383.5	81	
1384.5	64	
1385.5	61	
1386.5	62	
1387.5	60	
1388.5	72	
1389.5	57	
1390.5	67	
1391.5	64	
1392.5	64	
1393.5	58	
1394.5	53	
1395.5	52	
1396.5	55	
1397.5	51	
1398.5	59	
1399.5	78	
1400.5	48	
1401.5	57	
1402.5	60	
1403.5	81	
1404.5	53	
1405.5	62	
1406.5	52	
1407.5	36	
1408.5	49	
1409.5	48	
1410.5	47	
1411.5	44	
1412.5	48	
1413.5	47	
1414.5	43	
1415.5	50	
1416.5	58	
1417.5	55	
1418.5	48	
1419.5	46	
1420.5	47	
1421.5	40	
1422.5	54	
1423.5	49	
1424.5	54	
1425.5	36	
1426.5	52	
1427.5	54	
1428.5	48	
1429.5	57	
1430.5	52	
1431.5	46	
1432.5	38	
1433.5	45	
1434.5	52	
1435.5	33	
1436.5	38	
1437.5	42	
1438.5	38	
1439.5	57	
1440.5	49	
1441.5	59	
1442.5	46	
1443.5	62	
1444.5	47	
1445.5	53	
1446.5	57	
1447.5	43	
1448.5	68	
1449.5	52	
1450.5	58	
1451.5	67	
1452.5	63	
1453.5	58	
1454.5	65	
1455.5	64	
1456.5	76	
1457.5	60	
1458.5	61	
1459.5	62	
1460.5	61	
1461.5	79	
1462.5	71	
1463.5	83	
1464.5	51	
1465.5	63	
1466.5	73	
1467.5	72	
1468.5	83	
1469.5	75	
1470.5	72	
1471.5	79	
1472.5	82	
1473.5	70	
1474.5	89	
1475.5	65	
1476.5	88	
1477.5	72	
1478.5	97	
1479.5	82	
1480.5	79	
1481.5	85	
1482.5	97	
1483.5	86	
1484.5	83	
1485.5	80	
1486.5	99	
1487.5	88	
1488.5	100	
1489.5	97	
1490.5	91	
1491.5	93	
1492.5	75	
1493.5	109	
1494.5	104	
1495.5	89	
1496.5	89	
1497.5	92	
1498.5	94	
1499.5	94	
1500.5	95	
1501.5	95	
1502.5	92	
1503.5	91	
1504.5	85	
1505.5	78	
1506.5	109	
1507.5	104	
1508.5	108	
1509.5	91	
1510.5	88	
1511.5	108	
1512.5	96	
1513.5	96	
1514.5	90	
1515.5	86	
1516.5	109	
1517.5	76	
1518.5	98	
1519.5	103	
1520.5	83	
1521.5	111	
1522.5	103	
1523.5	96	
1524.5	96	
1525.5	105	
1526.5	84	
1527.5	107	
1528.5	94	
1529.5	123	
1530.5	100	
1531.5	107	
1532.5	110	
1533.5	93	
1534.5	102	
1535.5	86	
1536.5	113	
1537.5	112	
1538.5	101	
1539.5	90	
1540.5	80	
1541.5	106	
1542.5	96	
1543.5	103	
1544.5	94	
1545.5	102	
1546.5	92	
1547.5	96	
1548.5	89	
1549.5	71	
1550.5	84	
1551.5	101	
1552.5	96	
1553.5	100	
1554.5	94	
1555.5	79	
1556.5	95	
1557.5	81	
1558.5	94	
1559.5	87	
1560.5	79	
1561.5	65	
1562.5	82	
1563.5	94	
1564.5	71	
1565.5	89	
1566.5	101	
1567.5	75	
1568.5	73	
1569.5	71	
1570.5	80	
1571.5	74	
1572.5	66	
1573.5	50	
1574.5	70	
1575.5	73	
1576.5	59	
1577.5	80	
1578.5	57	
1579.5	70	
1580.5	64	
1581.5	80	
1582.5	52	
1583.5	72	
1584.5	71	
1585.5	63	
1586.5	48	
1587.5	59	
1588.5	53	
1589.5	53	
1590.5	63	
1591.5	49	
1592.5	48	
1593.5	56	
1594.5	46	
1595.5	41	
1596.5	54	
1597.5	49	
1598.5	47	
1599.5	52	
1600.5	47	
1601.5	56	
1602.5	55	
1603.5	59	
1604.5	50	
1605.5	52	
1606.5	51	
1607.5	49	
1608.5	43	
1609.5	48	
1610.5	49	
1611.5	42	
1612.5	55	
1613.5	51	
1614.5	49	
1615.5	50	
1616.5	45	
1617.5	54	
1618.5	48	
1619.5	54	
1620.5	49	
1621.5	49	
1622.5	45	
1623.5	48	
1624.5	45	
1625.5	60	
1626.5	45	
1627.5	44	
1628.5	53	
1629.5	49	
1630.5	53	
1631.5	40	
1632.5	39	
1633.5	49	
1634.5	36	
1635.5	52	
1636.5	46	
1637.5	56	
1638.5	52	
1639.5	31	
1640.5	53	
1641.5	49	
1642.5	52	
1643.5	38	
1644.5	39	
1645.5	43	
1646.5	44	
1647.5	39	
1648.5	39	
1649.5	34	
1650.5	45	
1651.5	39	
1652.5	40	
1653.5	30	
1654.5	35	
1655.5	43	
1656.5	42	
1657.5	39	
1658.5	43	
1659.5	45	
1660.5	42	
1661.5	43	
1662.5	39	
1663.5	36	
1664.5	36	
1665.5	40	
1666.5	38	
1667.5	36	
1668.5	41	
1669.5	44	
1670.5	30	
1671.5	40	
1672.5	42	
1673.5	36	
1674.5	32	
1675.5	39	
1676.5	42	
1677.5	40	
1678.5	33	
1679.5	32	
1680.5	35	
1681.5	43	
1682.5	28	
1683.5	46	
1684.5	38	
1685.5	30	
1686.5	37	
1687.5	40	
1688.5	45	
1689.5	36	
1690.5	42	
1691.5	44	
1692.5	28	
1693.5	37	
1694.5	20	
1695.5	35	
1696.5	32	
1697.5	28	
1698.5	29	
1699.5	43	
1700.5	32	
1701.5	34	
1702.5	37	
1703.5	26	
1704.5	16	
1705.5	32	
1706.5	38	
1707.5	36	
1708.5	25	
1709.5	44	
1710.5	26	
1711.5	36	
1712.5	22	
1713.5	40	
1714.5	29	
1715.5	35	
1716.5	32	
1717.5	38	
1718.5	29	
1719.5	26	
1720.5	28	
1721.5	30	
1722.5	22	
1723.5	30	
1724.5	22	
1725.5	40	
1726.5	25	
1727.5	39	
1728.5	27	
1729.5	38	
1730.5	38	
1731.5	25	
1732.5	34	
1733.5	27	
1734.5	31	
1735.5	32	
1736.5	29	
1737.5	26	
1738.5	24	
1739.5	23	
1740.5	30	
1741.5	39	
1742.5	21	
1743.5	27	
1744.5	26	
1745.5	25	
1746.5	20	
1747.5	41	
1748.5	21	
1749.5	17	
1750.5	25	
1751.5	26	
1752.5	21	
1753.5	26	
1754.5	33	
1755.5	32	
1756.5	35	
1757.5	24	
1758.5	30	
1759.5	24	
1760.5	39	
1761.5	35	
1762.5	25	
1763.5	28	
1764.5	26	
1765.5	29	
1766.5	25	
1767.5	30	
1768.5	42	
1769.5	45	
1770.5	24	
1771.5	30	
1772.5	24	
1773.5	27	
1774.5	30	
1775.5	28	
1776.5	44	
1777.5	37	
1778.5	34	
1779.5	24	
1780.5	40	
1781.5	40	
1782.5	31	
1783.5	25	
1784.5	28	
1785.5	42	
1786.5	44	
1787.5	40	
1788.5	35	
1789.5	35	
1790.5	35	
1791.5	28	
1792.5	31	
1793.5	33	
1794.5	42	
